,Frequency
hsa-mir-6813,3
hsa-mir-7976,3
hsa-mir-4292,3
hsa-mir-125a,3
hsa-mir-132,3
hsa-mir-4257,3
hsa-mir-382,3
hsa-mir-6515,3
hsa-mir-518d,3
hsa-mir-4483,3
hsa-mir-147a,3
hsa-mir-106a,3
hsa-mir-4639,3
hsa-mir-548ap,3
hsa-mir-548e,3
hsa-mir-1277,3
hsa-mir-6727,3
hsa-mir-511,3
hsa-mir-6845,3
hsa-mir-6770-3,3
hsa-mir-556,3
hsa-mir-378c,3
hsa-mir-6815,3
hsa-mir-4493,3
hsa-mir-106b,3
hsa-mir-6758,3
hsa-mir-3156-1,3
hsa-mir-7973-2,3
hsa-mir-216a,3
hsa-let-7d,3
hsa-mir-5582,3
hsa-mir-599,3
hsa-mir-1256,3
hsa-mir-1184-1,3
hsa-mir-522,3
hsa-mir-6739,3
hsa-mir-5693,3
hsa-mir-329-2,3
hsa-mir-369,3
hsa-mir-136,3
hsa-mir-516b-2,3
hsa-mir-363,3
hsa-let-7f-2,3
hsa-mir-4717,3
hsa-mir-6747,3
hsa-mir-6822,3
hsa-mir-5195,3
hsa-mir-545,3
hsa-mir-15b,3
hsa-mir-3168,3
hsa-mir-4535,3
hsa-mir-4640,3
hsa-mir-770,3
hsa-mir-7113,3
hsa-mir-521-2,3
hsa-mir-1234,3
hsa-mir-28,3
hsa-mir-1269a,3
hsa-mir-6810,3
hsa-mir-9-1,3
hsa-mir-6760,3
hsa-mir-6890,3
hsa-mir-6795,3
hsa-mir-2276,3
hsa-mir-3154,3
hsa-mir-5095,3
hsa-mir-4482,3
hsa-mir-5088,3
hsa-mir-4533,3
hsa-mir-6802,3
hsa-mir-6836,3
hsa-mir-3130-2,3
hsa-mir-5588,3
hsa-mir-4485,3
hsa-mir-647,3
hsa-mir-4476,3
hsa-mir-4745,3
hsa-mir-502,3
hsa-mir-1269b,3
hsa-mir-514a-1,3
hsa-mir-1255a,3
hsa-mir-197,3
hsa-mir-876,3
hsa-mir-6720,3
hsa-mir-4636,3
hsa-mir-378b,3
hsa-mir-3160-1,3
hsa-mir-4740,3
hsa-mir-6863,3
hsa-mir-6812,3
hsa-mir-432,3
hsa-mir-4423,3
hsa-mir-5692a-2,3
hsa-mir-3662,3
hsa-mir-129-2,3
hsa-mir-6746,3
hsa-mir-374a,3
hsa-mir-5010,3
hsa-mir-631,3
hsa-mir-4529,3
hsa-mir-6861,3
hsa-mir-4454,3
hsa-mir-650,3
hsa-mir-1301,3
hsa-mir-2861,3
hsa-mir-4668,3
hsa-mir-7-1,3
hsa-mir-4780,3
hsa-mir-4522,3
hsa-mir-466,3
hsa-mir-4465,3
hsa-mir-8059,3
hsa-mir-27b,3
hsa-let-7a-2,3
hsa-mir-8064,3
hsa-mir-4652,3
hsa-mir-92a-1,3
hsa-mir-2110,3
hsa-mir-412,3
hsa-mir-7112,3
hsa-mir-570,3
hsa-mir-520e,3
hsa-let-7i,3
hsa-mir-513a-1,3
hsa-mir-149,3
hsa-mir-758,3
hsa-mir-586,3
hsa-mir-3943,3
hsa-mir-3622a,3
hsa-mir-4774,3
hsa-mir-3155b,3
hsa-mir-4443,3
hsa-mir-365a,3
hsa-mir-3173,3
hsa-mir-7977,3
hsa-mir-1199,3
hsa-mir-4758,3
hsa-mir-6805,3
hsa-mir-383,3
hsa-mir-452,3
hsa-mir-29c,3
hsa-mir-376c,3
hsa-mir-885,3
hsa-mir-494,3
hsa-mir-1254-2,3
hsa-mir-6790,3
hsa-mir-6847,3
hsa-mir-504,3
hsa-mir-548a-2,3
hsa-mir-657,3
hsa-mir-143,3
hsa-mir-3196,3
hsa-mir-214,3
hsa-mir-3140,3
hsa-mir-4687,3
hsa-mir-127,3
hsa-mir-320a,3
hsa-mir-9-2,3
hsa-mir-4663,3
hsa-mir-611,3
hsa-mir-450a-2,3
hsa-mir-6831,3
hsa-mir-7106,3
hsa-mir-4428,3
hsa-mir-194-2,3
hsa-mir-585,3
hsa-mir-183,3
hsa-mir-301b,3
hsa-mir-607,3
hsa-mir-3200,3
hsa-mir-5189,3
hsa-mir-219a-2,3
hsa-mir-211,3
hsa-mir-99a,3
hsa-mir-548bb,3
hsa-mir-1908,3
hsa-let-7a-3,3
hsa-mir-5002,3
hsa-mir-30c-1,3
hsa-mir-7703,3
hsa-mir-6789,3
hsa-mir-548av,3
hsa-mir-6882,3
hsa-mir-1303,3
hsa-mir-638,3
hsa-mir-744,3
hsa-mir-4654,3
hsa-mir-4680,3
hsa-mir-200a,3
hsa-mir-665,3
hsa-mir-4466,3
hsa-mir-5698,3
hsa-mir-6843,3
hsa-mir-4791,3
hsa-mir-4698,3
hsa-mir-380,3
hsa-mir-492,3
hsa-mir-422a,3
hsa-mir-152,3
hsa-mir-3924,3
hsa-mir-2909,3
hsa-mir-16-1,3
hsa-mir-5692c-1,3
hsa-mir-1266,3
hsa-mir-1264,3
hsa-mir-1287,3
hsa-mir-4735,3
hsa-mir-103a-1,3
hsa-mir-5685,3
hsa-mir-24-1,3
hsa-mir-548d-1,3
hsa-mir-6754,3
hsa-mir-3684,3
hsa-mir-375,3
hsa-mir-1273h,3
hsa-mir-644a,3
hsa-mir-486-2,3
hsa-mir-6807,3
hsa-mir-1304,3
hsa-mir-345,3
hsa-mir-874,3
hsa-mir-133a-1,3
hsa-mir-6791,3
hsa-mir-6763,3
hsa-mir-6800,3
hsa-mir-6501,3
hsa-mir-5091,3
hsa-mir-509-1,3
hsa-mir-520h,3
hsa-mir-627,3
hsa-mir-526b,3
hsa-mir-6781,3
hsa-mir-4528,3
hsa-mir-6741,3
hsa-mir-7158,3
hsa-mir-4254,3
hsa-mir-302a,3
hsa-mir-93,3
hsa-mir-6825,3
hsa-mir-1182,3
hsa-mir-3689f,3
hsa-mir-4755,3
hsa-mir-4312,3
hsa-mir-342,3
hsa-mir-3149,3
hsa-mir-4712,3
hsa-mir-5705,3
hsa-mir-4799,3
hsa-mir-6132,3
hsa-mir-4776-1,3
hsa-mir-376a-1,3
hsa-mir-122,3
hsa-mir-3138,3
hsa-mir-3680-2,3
hsa-mir-5687,3
hsa-mir-206,3
hsa-mir-6793,3
hsa-mir-5692a-1,3
hsa-mir-4436b-2,3
hsa-mir-320b-2,3
hsa-mir-4700,3
hsa-mir-544a,3
hsa-mir-629,3
hsa-mir-525,3
hsa-mir-3164,3
hsa-mir-552,3
hsa-mir-3609,3
hsa-mir-628,3
hsa-mir-601,3
hsa-mir-4796,3
hsa-mir-6759,3
hsa-mir-19b-1,3
hsa-mir-4783,3
hsa-mir-377,3
hsa-mir-500a,3
hsa-mir-548y,3
hsa-mir-6867,3
hsa-mir-5008,3
hsa-mir-6883,3
hsa-mir-6885,3
hsa-mir-191,3
hsa-mir-3151,3
hsa-mir-516b-1,3
hsa-mir-3913-2,3
hsa-mir-574,3
hsa-mir-379,3
hsa-mir-4771-1,3
hsa-mir-148a,3
hsa-mir-1290,3
hsa-mir-516a-2,3
hsa-mir-548aa-2,3
hsa-mir-146b,3
hsa-mir-210,3
hsa-mir-3117,3
hsa-mir-548f-4,3
hsa-mir-424,3
hsa-mir-26a-1,3
hsa-mir-550a-2,3
hsa-mir-660,3
hsa-mir-1276,3
hsa-mir-3161,3
hsa-mir-138-2,3
hsa-mir-5583-1,3
hsa-mir-6726,3
hsa-mir-1228,3
hsa-mir-1244-1,3
hsa-mir-548s,3
hsa-mir-5193,3
hsa-mir-4505,3
hsa-mir-6774,3
hsa-mir-128-2,3
hsa-mir-4433a,3
hsa-mir-892c,3
hsa-mir-4501,3
hsa-mir-4759,3
hsa-mir-6165,3
hsa-mir-34a,3
hsa-mir-548ac,3
hsa-mir-4793,3
hsa-mir-3065,3
hsa-mir-767,3
hsa-mir-6879,3
hsa-mir-6849,3
hsa-mir-7-3,3
hsa-mir-6856,3
hsa-mir-495,3
hsa-mir-105-1,3
hsa-mir-6737,3
hsa-mir-4751,3
hsa-mir-708,3
hsa-mir-302b,3
hsa-mir-4665,3
hsa-mir-1538,3
hsa-mir-6511b-2,3
hsa-mir-1468,3
hsa-mir-3147,3
hsa-mir-548f-5,3
hsa-mir-5090,3
hsa-mir-8086,3
hsa-mir-542,3
hsa-mir-4422,3
hsa-mir-5591,3
hsa-mir-26b,3
hsa-mir-130b,3
hsa-mir-6894,3
hsa-mir-5003,3
hsa-mir-4317,3
hsa-mir-548w,3
hsa-mir-3166,3
hsa-mir-3910-1,3
hsa-mir-339,3
hsa-mir-520c,3
hsa-mir-6750,3
hsa-mir-378f,3
hsa-mir-4768,3
hsa-mir-6748,3
hsa-mir-6881,3
hsa-mir-4676,3
hsa-mir-6732,3
hsa-mir-3184,3
hsa-mir-10b,3
hsa-mir-4520-2,3
hsa-mir-5689,3
hsa-mir-489,3
hsa-mir-146a,3
hsa-mir-518c,3
hsa-mir-98,3
hsa-mir-6850,3
hsa-mir-4773-2,3
hsa-mir-4513,3
hsa-mir-196a-2,3
hsa-mir-204,3
hsa-mir-301a,3
hsa-mir-548aw,3
hsa-mir-16-2,3
hsa-mir-3612,3
hsa-mir-1225,3
hsa-mir-512-1,3
hsa-mir-4666a,3
hsa-mir-3682,3
hsa-mir-1250,3
hsa-mir-298,3
hsa-mir-543,3
hsa-mir-6828,3
hsa-mir-3127,3
hsa-mir-378a,3
hsa-mir-4433b,3
hsa-mir-378h,3
hsa-mir-4470,3
hsa-mir-517b,3
hsa-mir-587,3
hsa-mir-510,3
hsa-mir-323a,3
hsa-mir-888,3
hsa-mir-520a,3
hsa-mir-3191,3
hsa-mir-33b,3
hsa-mir-411,3
hsa-mir-4270,3
hsa-mir-181d,3
hsa-mir-4786,3
hsa-mir-6776,3
hsa-mir-4660,3
hsa-mir-3155a,3
hsa-mir-7110,3
hsa-mir-519a-1,3
hsa-mir-6854,3
hsa-mir-3529,3
hsa-mir-4258,3
hsa-mir-523,3
hsa-mir-4762,3
hsa-mir-4521,3
hsa-mir-4326,3
hsa-mir-642a,3
hsa-mir-887,3
hsa-mir-5009,3
hsa-mir-7978,3
hsa-mir-604,3
hsa-mir-5092,3
hsa-mir-4711,3
hsa-mir-7852,3
hsa-mir-4323,3
hsa-mir-4637,3
hsa-mir-3621,3
hsa-mir-4999,3
hsa-mir-5579,3
hsa-mir-449c,3
hsa-mir-378j,3
hsa-mir-487b,3
hsa-mir-4492,3
hsa-mir-526a-1,3
hsa-mir-4689,3
hsa-mir-6718,3
hsa-mir-1246,3
hsa-mir-6806,3
hsa-mir-548x,3
hsa-mir-6889,3
hsa-mir-449a,3
hsa-mir-6753,3
hsa-mir-4670,3
hsa-mir-4769,3
hsa-mir-1227,3
hsa-mir-4537,3
hsa-mir-451a,3
hsa-mir-296,3
hsa-mir-5584,3
hsa-mir-5001,3
hsa-mir-324,3
hsa-mir-4497,3
hsa-mir-3591,3
hsa-mir-4435-1,3
hsa-mir-7855,3
hsa-mir-513c,3
hsa-mir-6773,3
hsa-mir-5695,3
hsa-mir-6504,3
hsa-mir-6509,3
hsa-mir-3139,3
hsa-mir-3181,3
hsa-mir-7108,3
hsa-mir-18a,3
hsa-mir-4425,3
hsa-mir-576,3
hsa-mir-340,3
hsa-mir-6735,3
hsa-mir-5585,3
hsa-mir-4690,3
hsa-mir-1254-1,3
hsa-mir-5696,3
hsa-mir-6799,3
hsa-mir-3677,3
hsa-mir-337,3
hsa-mir-3198-1,3
hsa-mir-518e,3
hsa-mir-4722,3
hsa-mir-6804,3
hsa-mir-3915,3
hsa-mir-596,3
hsa-mir-6715a,3
hsa-mir-6088,3
hsa-mir-519e,3
hsa-mir-4511,3
hsa-mir-6834,3
hsa-mir-4444-1,3
hsa-mir-203b,3
hsa-mir-520f,3
hsa-mir-509-3,3
hsa-mir-548o,3
hsa-mir-4749,3
hsa-mir-20a,3
hsa-mir-30a,3
hsa-mir-613,3
hsa-mir-4771-2,3
hsa-mir-181c,3
hsa-let-7b,3
hsa-mir-376b,3
hsa-mir-30b,3
hsa-mir-548am,3
hsa-mir-548ag-2,3
hsa-mir-550a-1,3
hsa-mir-6736,3
hsa-mir-1265,3
hsa-mir-4467,3
hsa-mir-4789,3
hsa-mir-124-3,3
hsa-mir-4785,3
hsa-mir-6797,3
hsa-mir-182,3
hsa-mir-4658,3
hsa-mir-107,3
hsa-mir-642b,3
hsa-mir-3918,3
hsa-mir-4633,3
hsa-mir-4324,3
hsa-mir-302d,3
hsa-mir-4763,3
hsa-mir-208a,3
hsa-mir-18b,3
hsa-mir-6743,3
hsa-mir-3176,3
hsa-mir-541,3
hsa-mir-4757,3
hsa-mir-4656,3
hsa-mir-1293,3
hsa-mir-517a,3
hsa-mir-519c,3
hsa-mir-4430,3
hsa-mir-4524a,3
hsa-mir-514a-2,3
hsa-mir-503,3
hsa-mir-6756,3
hsa-mir-664b,3
hsa-mir-3685,3
hsa-mir-517c,3
hsa-mir-4459,3
hsa-mir-6503,3
hsa-mir-449b,3
hsa-mir-2116,3
hsa-mir-509-2,3
hsa-mir-652,3
hsa-mir-4437,3
hsa-mir-6124,3
hsa-mir-1537,3
hsa-mir-5583-2,3
hsa-mir-1282,3
hsa-mir-4648,3
hsa-mir-520g,3
hsa-mir-5187,3
hsa-mir-4772,3
hsa-mir-3132,3
hsa-mir-3923,3
hsa-mir-1207,3
hsa-mir-6508,3
hsa-mir-4724,3
hsa-mir-3910-2,3
hsa-mir-5093,3
hsa-mir-19b-2,3
hsa-mir-4776-2,3
hsa-mir-4748,3
hsa-mir-128-1,3
hsa-mir-4296,3
hsa-mir-3136,3
hsa-mir-579,3
hsa-mir-654,3
hsa-mir-3914-2,3
hsa-mir-224,3
hsa-mir-664a,3
hsa-mir-6892,3
hsa-mir-4651,3
hsa-mir-1249,3
hsa-mir-4679-2,3
hsa-mir-4644,3
hsa-mir-6830,3
hsa-mir-1273c,3
hsa-mir-150,3
hsa-mir-3689e,3
hsa-mir-3119-2,3
hsa-mir-20b,3
hsa-mir-34c,3
hsa-mir-320c-2,3
hsa-mir-6784,3
hsa-mir-6068,3
hsa-mir-3180-3,3
hsa-mir-203a,3
hsa-mir-130a,3
hsa-mir-4704,3
hsa-mir-3935,3
hsa-mir-7160,3
hsa-mir-8077,3
hsa-mir-4710,3
hsa-mir-181a-2,3
hsa-mir-1343,3
hsa-mir-3650,3
hsa-mir-520b,3
hsa-mir-7704,3
hsa-mir-6751,3
hsa-mir-6814,3
hsa-mir-551a,3
hsa-mir-1244-2,3
hsa-mir-3651,3
hsa-mir-6798,3
hsa-mir-4682,3
hsa-mir-1243,3
hsa-mir-548an,3
hsa-mir-370,3
hsa-mir-610,3
hsa-mir-6087,3
hsa-mir-4673,3
hsa-mir-6884,3
hsa-mir-4701,3
hsa-mir-3131,3
hsa-mir-499b,3
hsa-mir-4278,3
hsa-mir-548ad,3
hsa-mir-99b,3
hsa-mir-488,3
hsa-mir-9-3,3
hsa-mir-3163,3
hsa-mir-3129,3
hsa-mir-5000,3
hsa-mir-154,3
hsa-mir-6762,3
hsa-mir-31,3
hsa-mir-6853,3
hsa-mir-544b,3
hsa-mir-6076,3
hsa-mir-3116-1,3
hsa-mir-5688,3
hsa-mir-518a-2,3
hsa-mir-507,3
hsa-mir-3914-1,3
hsa-mir-548a-1,3
hsa-mir-212,3
hsa-mir-4781,3
hsa-mir-3194,3
hsa-mir-3928,3
hsa-mir-3674,3
hsa-mir-1185-1,3
hsa-mir-4778,3
hsa-mir-200c,3
hsa-mir-3142,3
hsa-mir-6827,3
hsa-mir-4536-2,3
hsa-mir-548x-2,3
hsa-mir-198,3
hsa-mir-4457,3
hsa-mir-5100,3
hsa-mir-7846,3
hsa-mir-6733,3
hsa-mir-5706,3
hsa-mir-6765,3
hsa-mir-518f,3
hsa-mir-2117,3
hsa-mir-6871,3
hsa-mir-223,3
hsa-mir-2681,3
hsa-mir-4471,3
hsa-mir-4657,3
hsa-mir-6761,3
hsa-mir-5191,3
hsa-mir-1296,3
hsa-mir-320d-1,3
hsa-mir-421,3
hsa-mir-3145,3
hsa-mir-4784,3
hsa-mir-6512,3
hsa-mir-548au,3
hsa-mir-1278,3
hsa-mir-514b,3
hsa-mir-1-2,3
hsa-mir-4461,3
hsa-mir-4677,3
hsa-mir-1283-1,3
hsa-mir-6878,3
hsa-mir-199a-1,3
hsa-mir-199a-2,3
hsa-mir-513a-2,3
hsa-mir-1910,3
hsa-mir-6887,3
hsa-mir-486-1,3
hsa-mir-1322,3
hsa-mir-3170,3
hsa-mir-4708,3
hsa-mir-4794,3
hsa-mir-1471,3
hsa-mir-498,3
hsa-mir-5007,3
hsa-mir-25,3
hsa-mir-222,3
hsa-mir-7845,3
hsa-mir-7848,3
hsa-mir-4293,2
hsa-mir-4319,2
hsa-mir-941-3,2
hsa-mir-8054,2
hsa-mir-759,2
hsa-mir-4251,2
hsa-mir-6075,2
hsa-mir-8088,2
hsa-mir-3118-2,2
hsa-mir-4253,2
hsa-mir-548f-3,2
hsa-mir-4265,2
hsa-mir-1233-1,2
hsa-mir-7150,2
hsa-mir-4475,2
hsa-mir-548ae-1,2
hsa-mir-1255b-1,2
hsa-mir-5739,2
hsa-mir-6072,2
hsa-mir-8074,2
hsa-mir-6074,2
hsa-mir-4456,2
hsa-mir-8070,2
hsa-mir-6069,2
hsa-mir-4283-1,2
hsa-mir-8071-2,2
hsa-mir-6089-2,2
hsa-mir-297,2
hsa-mir-1261,2
hsa-mir-8069-2,2
hsa-mir-6724-1,2
hsa-mir-3666,2
hsa-mir-1183,2
hsa-mir-6724-2,2
hsa-mir-6078,2
hsa-mir-3671,2
hsa-mir-6511a-1,2
hsa-mir-3690-2,2
hsa-mir-4318,2
hsa-mir-6859-3,2
hsa-mir-648,2
hsa-mir-3714,2
hsa-mir-5787,2
hsa-mir-4313,2
hsa-mir-3908,2
hsa-mir-1273e,2
hsa-mir-941-4,2
hsa-mir-8062,2
hsa-mir-3118-1,2
hsa-mir-3179-3,2
hsa-mir-7153,2
hsa-mir-4325,2
hsa-mir-8060,2
hsa-mir-4305,2
hsa-mir-4303,2
hsa-mir-7159,2
hsa-mir-4266,2
hsa-mir-548aa-1,2
hsa-mir-4277,2
hsa-mir-1273f,2
hsa-mir-103b-2,2
hsa-mir-3179-1,2
hsa-mir-1973,2
hsa-mir-8081,2
hsa-mir-548z,2
hsa-mir-1233-2,2
hsa-mir-608,2
hsa-mir-1321,2
hsa-mir-4259,2
hsa-mir-4509-1,2
hsa-mir-8055,2
hsa-mir-6511a-2,2
hsa-mir-302e,2
hsa-mir-4472-2,2
hsa-mir-4500,2
hsa-mir-1302-10,2
hsa-mir-1972-2,2
hsa-mir-3974,2
hsa-mir-8053,2
hsa-mir-6859-1,2
hsa-mir-4267,2
hsa-mir-1273d,2
hsa-mir-7162,2
hsa-mir-8071-1,2
hsa-mir-4447,2
hsa-mir-6089-1,2
hsa-mir-4330,2
hsa-mir-6859-2,2
hsa-mir-6086,2
hsa-mir-6129,2
hsa-mir-3670-3,2
hsa-mir-4290,2
hsa-mir-4419a,2
hsa-mir-8067,2
hsa-mir-4281,2
hsa-mir-646,2
hsa-mir-548g,2
hsa-mir-4455,2
hsa-mir-941-2,2
hsa-mir-548i-2,2
hsa-mir-6079,2
hsa-mir-4524b,2
hsa-mir-3201,2
hsa-mir-548h-4,2
hsa-mir-3687-1,2
hsa-mir-1244-3,2
hsa-mir-626,2
hsa-mir-548aj-2,2
hsa-mir-8485,2
hsa-mir-4255,2
hsa-mir-633,2
hsa-mir-6724-3,2
hsa-mir-4328,2
hsa-mir-8084,2
hsa-mir-3978,2
hsa-mir-4307,2
hsa-mir-1302-5,2
hsa-mir-4801,2
hsa-mir-548h-2,2
hsa-mir-4282,2
hsa-mir-1208,2
hsa-mir-619,2
hsa-mir-5701-1,2
hsa-mir-1268a,2
hsa-mir-4316,2
hsa-mir-1302-11,2
hsa-mir-566,2
hsa-mir-3118-4,2
hsa-mir-8068,2
hsa-mir-8057,2
hsa-mir-6082,2
hsa-mir-4509-3,2
hsa-mir-1302-2,2
hsa-mir-1302-9,2
hsa-mir-1324,2
hsa-mir-4269,2
hsa-mir-3123,2
hsa-mir-5197,2
hsa-mir-1202,2
hsa-mir-325,2
hsa-mir-3689d-2,2
hsa-mir-548i-3,2
hsa-mir-4499,2
hsa-mir-568,2
hsa-mir-8065,2
hsa-mir-6128,2
hsa-mir-6511a-3,2
hsa-mir-5701-2,2
hsa-mir-920,2
hsa-mir-562,2
hsa-mir-548h-1,2
hsa-mir-9500,2
hsa-mir-4472-1,2
hsa-mir-4477a,2
hsa-mir-548ae-2,2
hsa-mir-6511a-4,2
hsa-mir-569,2
hsa-mir-8063,2
hsa-mir-2052,2
hsa-mir-4252,2
hsa-mir-4275,2
hsa-mir-5701-3,2
hsa-mir-4283-2,2
hsa-mir-941-5,2
hsa-mir-4274,2
hsa-mir-4262,2
hsa-mir-7154,2
hsa-mir-8061,2
hsa-mir-3648-1,2
hsa-mir-4287,2
hsa-mir-1200,2
hsa-mir-5096,2
hsa-mir-4268,2
hsa-mir-4531,2
hsa-mir-6134,2
hsa-mir-103b-1,2
hsa-mir-3977,2
hsa-mir-4311,2
hsa-mir-548f-2,2
hsa-mir-4298,2
hsa-mir-4514,2
hsa-mir-8056,2
hsa-mir-4301,2
hsa-mir-6724-4,2
hsa-mir-1279,2
hsa-mir-6133,2
hsa-mir-4309,2
hsa-mir-7515,2
hsa-mir-8076,2
hsa-mir-1470,2
hsa-mir-4304,2
hsa-mir-4486,2
hsa-mir-4329,2
hsa-mir-8087,2
hsa-mir-2053,2
hsa-mir-4495,2
hsa-mir-8080,2
hsa-mir-634,2
hsa-mir-4261,2
hsa-mir-8078,2
hsa-mir-4509-2,2
hsa-mir-1302-1,2
hsa-mir-548i-4,2
hsa-mir-3670-1,2
hsa-mir-4299,2
hsa-mir-548i-1,2
hsa-mir-1244-4,2
hsa-mir-3179-4,2
hsa-mir-3976,2
hsa-mir-300,2
hsa-mir-4481,2
hsa-mir-3713,2
hsa-mir-620,2
hsa-mir-1205,2
hsa-mir-1255b-2,2
hsa-mir-3670-2,2
hsa-mir-6085,2
hsa-mir-557,2
hsa-mir-4291,2
hsa-mir-6070,2
hsa-mir-4273,2
hsa-mir-4314,2
hsa-mir-4477b,2
hsa-mir-4540,2
hsa-mir-3118-3,2
hsa-mir-302f,2
hsa-mir-4285,2
hsa-mir-4272,2
hsa-mir-4294,2
hsa-mir-5692b,2
hsa-mir-1302-7,2
hsa-mir-3687-2,2
hsa-mir-1302-6,2
hsa-mir-649,2
hsa-mir-2054,2
hsa-mir-3134,2
hsa-mir-8069-1,2
hsa-mir-1302-8,2
hsa-mir-553,2
hsa-mir-4297,2
hsa-mir-3648-2,2
hsa-mir-3670-4,2
hsa-mir-548aj-1,2
hsa-mir-1302-4,2
hsa-mir-3179-2,2
subtype,1
stage,1
